Date,UJVNL Generation,Central Share & VP Share,Energy Availability in UK,Gross Energy Demand in UK,Energy Surplus/Shortage,IEX/PXIL Drawl,Banking Power to/from Other States,Planned/Emergency Rostering,Energy Overdrawl/Underdrawl,U.I. Rate (Rs.),Appx. Amount (Crores)
07-Oct-24,15.461,18.135,33.596,47.079,-13.483,3.474,9.414,0.1,0.495,1.78,0.09
08-Oct-24,15.983,17.448,33.431,47.876,-14.445,6.15,8.507,0,-0.212,2.2,-0.05
09-Oct-24,15.326,17.438,32.764,47.504,-14.74,6.815,8.016,0,-0.091,1.07,-0.01
10-Oct-24,14.242,17.556,31.798,47.051,-15.253,7.205,8.488,0,-0.44,1.42,-0.06
11-Oct-24,13.375,17.27,30.645,45.714,-15.069,8.598,7.025,0,-0.554,1.78,-0.1
12-Oct-24,12.678,14.14,26.818,39.428,-12.61,6.153,7.588,0,-1.131,1.42,-0.16
13-Oct-24,11.567,12.763,24.33,38.208,-13.878,8.282,6.983,0,-1.387,1.78,-0.25
14-Oct-24,11.178,15.556,26.734,43.336,-16.602,9.533,7.524,0,-0.455,1.42,-0.06
15-Oct-24,11.6,15.564,27.164,44.342,-17.178,11.187,6.293,0,-0.302,2.2,-0.07
16-Oct-24,11.268,19.03,30.298,44.579,-14.281,4.911,8.378,0,0.992,1.78,0.18
17-Oct-24,10.53,18.805,29.335,44.039,-14.704,8.888,6.66,0,-0.844,1.99,-0.17
18-Oct-24,9.881,17.905,27.786,44.365,-16.579,7.913,8.475,0.087,0.104,1.42,0.01
19-Oct-24,10.541,17.304,27.845,44.919,-17.074,10.114,5.739,0,1.221,1.99,0.24
20-Oct-24,10.183,17.46,27.643,42.125,-14.482,7.293,6.682,0,0.507,1.42,0.07
21-Oct-24,10.521,18.329,28.85,41.304,-12.454,10.068,3.458,0,-1.072,2.2,-0.24
22-Oct-24,11.218,18.191,29.409,43.28,-13.871,9.366,4.966,0,-0.461,1.78,-0.08
23-Oct-24,10.917,17.49,28.407,43.484,-15.077,10.377,5.257,0,-0.557,1.42,-0.08
24-Oct-24,11.16,18.278,29.438,44.349,-14.911,10.236,5.158,0,-0.483,1.42,-0.07
25-Oct-24,10.634,17.449,28.083,43.956,-15.873,9.882,5.78,0,0.211,1.42,0.03
26-Oct-24,10.295,17.545,27.84,44.339,-16.499,11.206,5.596,0,-0.303,1.42,-0.04
27-Oct-24,10.274,17.989,28.263,42.101,-13.838,7.841,5.658,0,0.339,1.99,0.07
28-Oct-24,10.611,18.417,29.028,43.999,-14.971,9.45,6.112,0,-0.591,2.41,-0.14
29-Oct-24,11.195,18.374,29.569,43.704,-14.135,10.364,4.776,0,-1.005,1.99,-0.2
30-Oct-24,11.082,18.335,29.417,40.111,-10.694,8.096,4.049,0,-1.451,1.99,-0.29
31-Oct-24,10.886,15.396,26.282,32.072,-5.79,0.043,6.254,0,-0.507,1.78,-0.09
01-Nov-24,11.151,15.754,26.905,29.194,-2.289,-2.68,6.53,0,-1.561,1.07,-0.17
02-Nov-24,11.237,15.396,26.633,30.797,-4.164,-1.584,6.937,0,-1.189,1.07,-0.13
03-Nov-24,10.347,17.008,27.355,31.23,-3.875,-1.327,6.642,0,-1.44,1.99,-0.29
04-Nov-24,10.524,17.171,27.695,35.198,-7.503,4.327,4.595,0,-1.419,1.78,-0.25
05-Nov-24,10.816,17.875,28.691,39.203,-10.512,1.934,8.767,0,-0.189,1.99,-0.04
06-Nov-24,10.992,17.757,28.749,39.749,-11,4.305,7.403,0,-0.708,1.78,-0.13
07-Nov-24,10.619,17.291,27.91,41.028,-13.118,5.444,7.122,0,0.552,1.42,0.08
08-Nov-24,9.657,17.995,27.652,40.955,-13.303,5.113,7.993,0,0.197,2.2,0.04
09-Nov-24,9.419,17.339,26.758,41.312,-14.554,6.87,7.845,0.058,-0.219,1.99,-0.04
10-Nov-24,9.366,17.215,26.581,38.107,-11.526,5.41,6.757,0,-0.641,1.99,-0.13
11-Nov-24,8.772,16.906,25.678,40.089,-14.411,7.136,7.924,0.107,-0.756,2.2,-0.17
12-Nov-24,8.468,18.186,26.654,41.376,-14.722,7.844,7.753,0,-0.875,2.2,-0.19
13-Nov-24,8.098,17.821,25.919,41.036,-15.117,7.536,8.104,0,-0.523,1.42,-0.07
14-Nov-24,7.677,17.586,25.263,40.077,-14.814,9.328,6.623,0,-1.137,2.2,-0.25
15-Nov-24,7.759,16.991,24.75,39.74,-14.99,8.088,7.229,0,-0.327,2.2,-0.07
16-Nov-24,7.299,17.461,24.76,39.525,-14.765,8.45,7.005,0,-0.69,1.99,-0.14
17-Nov-24,7.714,16.95,24.664,36.545,-11.881,5.317,7.035,0,-0.471,1.78,-0.08
18-Nov-24,6.622,16.679,23.301,38.818,-15.517,8.913,7.972,0,-1.368,1.42,-0.19
19-Nov-24,7.541,15.961,23.502,40.017,-16.515,8.7,8.007,0,-0.192,1.42,-0.03
20-Nov-24,8.09,16.828,24.918,40.314,-15.396,9.416,6.991,0,-1.011,1.42,-0.14
21-Nov-24,8.316,16.469,24.785,40.119,-15.334,9.138,6.864,0,-0.668,1.99,-0.13
22-Nov-24,8.355,16.653,25.008,41.103,-16.095,9.124,7.235,0,-0.264,1.78,-0.05
23-Nov-24,8.076,16.726,24.802,40.75,-15.948,9.805,6.352,0,-0.209,1.99,-0.04
24-Nov-24,8.285,16.708,24.993,37.826,-12.833,5.728,7.243,0,-0.138,1.78,-0.02
25-Nov-24,8.306,16.004,24.31,39.729,-15.419,7.612,7.97,0,-0.163,1.99,-0.03
26-Nov-24,8.176,16.286,24.462,40.493,-16.031,9.208,7.399,0,-0.576,2.2,-0.13
27-Nov-24,8.219,16.393,24.612,41.101,-16.489,8.818,8.001,0,-0.33,2.2,-0.07
28-Nov-24,8.334,16.47,24.804,40.649,-15.845,9.575,7.648,0,-1.378,1.78,-0.25
29-Nov-24,8.164,16.684,24.848,40.596,-15.748,8.999,7.767,0.053,-1.071,1.99,-0.21
30-Nov-24,0,0,0,0,0,0,0,0,0,0,0
01-Dec-24,8.59,17.949,26.539,36.662,-10.123,-0.296,11.877,0,-1.458,1.42,-0.21
02-Dec-24,8.711,17.234,25.945,38.853,-12.908,2.109,12.24,0,-1.441,1.42,-0.2
03-Dec-24,10.101,17.018,27.119,40.47,-13.351,2.388,11.793,0,-0.83,1.07,-0.09
04-Dec-24,10.239,16.906,27.145,40.635,-13.49,1.826,12.427,0,-0.763,1.78,-0.14
05-Dec-24,11.218,15.995,27.213,41.916,-14.703,1.053,12.929,0,0.721,1.99,0.14
06-Dec-24,10.577,16.663,27.24,43.027,-15.787,1.546,14.012,0.087,0.142,1.99,0.03
07-Dec-24,11.054,16.162,27.216,42.364,-15.148,3.614,12.642,0,-1.108,1.42,-0.16
08-Dec-24,10.997,16.603,27.6,39.605,-12.005,1.712,10.842,0,-0.549,1.78,-0.1
09-Dec-24,10.774,16.636,27.41,41.839,-14.429,3.368,12,0,-0.939,1.78,-0.17
10-Dec-24,11.19,16.857,28.047,44.153,-16.106,3.636,12.581,0,-0.111,1.78,-0.02
11-Dec-24,10.85,17.382,28.232,44.557,-16.325,3.979,12.718,0,-0.372,1.78,-0.07
12-Dec-24,11.019,17.786,28.805,44.394,-15.589,4.359,11.94,0,-0.71,1.42,-0.1
13-Dec-24,10.708,17.865,28.573,45.025,-16.452,4.142,12.801,0,-0.491,1.78,-0.09
14-Dec-24,10.548,17.268,27.816,44.527,-16.711,3.569,13.308,0.081,-0.247,1.99,-0.05
15-Dec-24,10.574,17.773,28.347,40.841,-12.494,1.075,11.811,0,-0.392,1.78,-0.07
16-Dec-24,10.452,18.16,28.612,43.334,-14.722,1.368,13.071,0.063,0.22,2.41,0.05
17-Dec-24,10.203,17.971,28.174,44.91,-16.736,3.973,13.167,0,-0.404,1.78,-0.07
18-Dec-24,9.99,18.076,28.066,44.722,-16.656,3.233,13.865,0,-0.442,1.99,-0.09
19-Dec-24,9.786,18.3,28.086,45.162,-17.076,3.499,13.6,0,-0.023,1.78,0
20-Dec-24,10.185,18.222,28.407,45.354,-16.947,4.399,13.09,0,-0.542,1.78,-0.1
21-Dec-24,9.507,18.531,28.038,44.411,-16.373,4.34,12.111,0,-0.078,1.99,-0.02
22-Dec-24,9.478,18.487,27.965,41.543,-13.578,2.641,10.445,0,0.492,2.2,0.11
23-Dec-24,9.63,18.456,28.086,46.181,-18.095,4.097,12.946,0.029,1.023,1.99,0.2
24-Dec-24,9.807,18.177,27.984,45.254,-17.27,4.177,13.597,0.1,-0.604,1.78,-0.11
25-Dec-24,9.899,18.261,28.16,44.254,-16.094,4.237,12.179,0,-0.322,1.78,-0.06
26-Dec-24,10.029,18.513,28.542,44.196,-15.654,4.647,11.69,0,-0.683,1.99,-0.14
27-Dec-24,9.701,18.736,28.437,46.088,-17.651,5.663,13.058,0,-1.07,1.07,-0.11
28-Dec-24,8.838,18.088,26.926,41.236,-14.31,5.559,10.509,0,-1.758,1.78,-0.31
29-Dec-24,10.29,18.358,28.648,41.239,-12.591,0.789,12.545,0,-0.743,1.42,-0.11
30-Dec-24,8.673,18.266,26.939,44.051,-17.112,2.282,14.76,0,0.07,1.42,0.01
31-Dec-24,7.754,18.405,26.159,44.546,-18.387,5.952,13.141,0,-0.706,1.42,-0.1
